Block	CountA	CountB	SNVs	Haplotype
3074	2	0	-	-
3075	2	0	-	-
3076	66	34	-	-
3077	2	0	-	-
3078	3	0	-	-
3079	2	2	match	match
3080	14	13	-	-
3081	3	3	match	match
3082	2	0	-	-
3083	4	4	match	match
3084	6	5	-	-
3085	7	7	match	match
3086	2	2	match	match
3087	6	6	match	match
3088	2	0	-	-
3089	4	2	-	-
3090	2	0	-	-
3091	4	3	-	-
3092	4	2	-	-
3093	2	0	-	-
3094	6	5	-	-
3095	2	2	match	match
3096	4	0	-	-
3097	84	35	-	-
3098	2	2	match	match
3099	2	0	-	-
3100	49	23	-	-
3101	16	4	-	-
3102	2	0	-	-
3103	3	2	-	-
3104	2	0	-	-
3105	5	0	-	-
3106	2	2	match	match
3107	139	58	-	-
3108	2	2	match	match
3109	2	2	match	match
3110	2	2	match	match
3111	7	7	match	-
3112	2	2	match	match
3113	4	3	-	-
3114	2	0	-	-
3115	6	5	-	-
3116	21	10	-	-
3117	2	2	match	match
3118	41	22	-	-
3119	2	0	-	-
3120	212	113	-	-
3121	2	0	-	-
3122	2	2	match	match
3123	2	2	match	match
3124	3	3	match	match
3125	2	2	match	match
3126	413	260	-	-
3127	2	2	match	match
3128	6	2	-	-
3129	17	7	-	-
3130	2	0	-	-
3131	22	11	-	-
3132	2	0	-	-
3133	8	4	-	-
3134	20	12	-	-
3135	22	10	-	-
3136	3	3	match	match
3137	4	2	-	-
3138	3	2	-	-
3139	19	9	-	-
3140	18	15	-	-
3141	2	2	match	match
3142	2	0	-	-
3143	3	0	-	-
3144	3	3	match	match
3145	6	4	-	-
3146	26	19	-	-
3147	19	11	-	-
3148	3	3	match	match
3149	18	13	-	-
3150	4	4	match	match
3151	18	15	-	-
3152	3	3	match	match
3153	5	5	match	match
3154	8	8	match	match
3155	29	23	-	-
3156	4	4	match	match
3157	8	5	-	-
3158	2	2	match	match
3159	5	2	-	-
3160	3	3	match	match
3161	23	12	-	-
3162	2	2	match	match
3163	10	10	match	match
3164	2	2	match	match
3165	2	2	match	match
3166	2	0	-	-
3167	5	4	-	-
3168	2	2	match	match
3169	5	5	match	match
3170	5	5	match	match
3171	2	2	match	match
3172	2	0	-	-
3173	2	2	match	match
